Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,symptom_list,symptoms_text,severity_score,num_symptoms
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, yellowing_of_eyes,,,,,,,,,,,,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'yellowing_of_eyes']",itching  vomiting  yellowish_skin  nausea  loss_of_appetite  yellowing_of_eyes,22,6
Chronic cholestasis,itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain,,,,,,,,,,,,"['itching', 'vomiting', 'yellowish_skin', 'nausea', 'loss_of_appetite', 'abdominal_pain']",itching  vomiting  yellowish_skin  nausea  loss_of_appetite  abdominal_pain,22,6
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",itching  skin_rash  stomach_pain  burning_micturition  spotting_ urination,15,5
Drug Reaction,itching, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,"['itching', 'stomach_pain', 'burning_micturition', 'spotting_ urination']",itching  stomach_pain  burning_micturition  spotting_ urination,12,4
Drug Reaction,itching, skin_rash, burning_micturition, spotting_ urination,,,,,,,,,,,,,,"['itching', 'skin_rash', 'burning_micturition', 'spotting_ urination']",itching  skin_rash  burning_micturition  spotting_ urination,10,4
Drug Reaction,itching, skin_rash, stomach_pain, spotting_ urination,,,,,,,,,,,,,,"['itching', 'skin_rash', 'stomach_pain', 'spotting_ urination']",itching  skin_rash  stomach_pain  spotting_ urination,9,4
Drug Reaction,itching, skin_rash, stomach_pain, burning_micturition,,,,,,,,,,,,,,"['itching', 'skin_rash', 'stomach_pain', 'burning_micturition']",itching  skin_rash  stomach_pain  burning_micturition,15,4
Drug Reaction, skin_rash, stomach_pain, burning_micturition, spotting_ urination,,,,,,,,,,,,,,"['skin_rash', 'stomach_pain', 'burning_micturition', 'spotting_ urination']", skin_rash  stomach_pain  burning_micturition  spotting_ urination,14,4
Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"['vomiting', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']", vomiting  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,22,5
Peptic ulcer diseae, vomiting, indigestion, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"['vomiting', 'indigestion', 'abdominal_pain', 'passage_of_gases', 'internal_itching']", vomiting  indigestion  abdominal_pain  passage_of_gases  internal_itching,23,5
Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,,"['indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']", indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,22,5
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, passage_of_gases, internal_itching,,,,,,,,,,,,,"['vomiting', 'indigestion', 'loss_of_appetite', 'passage_of_gases', 'internal_itching']", vomiting  indigestion  loss_of_appetite  passage_of_gases  internal_itching,23,5
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, internal_itching,,,,,,,,,,,,,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'internal_itching']", vomiting  indigestion  loss_of_appetite  abdominal_pain  internal_itching,22,5
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases,,,,,,,,,,,,,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases']", vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases,23,5
Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite, abdominal_pain, passage_of_gases, internal_itching,,,,,,,,,,,,"['vomiting', 'indigestion', 'loss_of_appetite', 'abdominal_pain', 'passage_of_gases', 'internal_itching']", vomiting  indigestion  loss_of_appetite  abdominal_pain  passage_of_gases  internal_itching,27,6
AIDS, muscle_wasting, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,"['muscle_wasting', 'patches_in_throat', 'high_fever', 'extra_marital_contacts']", muscle_wasting  patches_in_throat  high_fever  extra_marital_contacts,21,4
AIDS, patches_in_throat, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,"['patches_in_throat', 'high_fever', 'extra_marital_contacts']", patches_in_throat  high_fever  extra_marital_contacts,18,3
AIDS, muscle_wasting, high_fever, extra_marital_contacts,,,,,,,,,,,,,,,"['muscle_wasting', 'high_fever', 'extra_marital_contacts']", muscle_wasting  high_fever  extra_marital_contacts,15,3
AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts,,,,,,,,,,,,,,,"['muscle_wasting', 'patches_in_throat', 'extra_marital_contacts']", muscle_wasting  patches_in_throat  extra_marital_contacts,14,3
AIDS, muscle_wasting, patches_in_throat, high_fever,,,,,,,,,,,,,,,"['muscle_wasting', 'patches_in_throat', 'high_fever']", muscle_wasting  patches_in_throat  high_fever,16,3
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,41,10
Diabetes , weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,37,9
Diabetes , fatigue, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,38,9
Diabetes , fatigue, weight_loss, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger,
 increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,36,9
Diabetes , fatigue, weight_loss, restlessness, irregular_sugar_level, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  irregular_sugar_level  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,39,9
Diabetes , fatigue, weight_loss, restlessness, lethargy, blurred_and_distorted_vision, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'blurred_and_distorted_vision', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  lethargy  blurred_and_distorted_vision  obesity  excessive_hunger  increased_appetite  polyuria,36,9
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, obesity, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'obesity', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  obesity  excessive_hunger  increased_appetite  polyuria,36,9
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, excessive_hunger, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'excessive_hunger', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  excessive_hunger  increased_appetite  polyuria,37,9
Diabetes , fatigue, weight_loss, restlessness, lethargy, irregular_sugar_level, blurred_and_distorted_vision, obesity, increased_appetite, polyuria,,,,,,,,,"['fatigue', 'weight_loss', 'restlessness', 'lethargy', 'irregular_sugar_level', 'blurred_and_distorted_vision', 'obesity', 'increased_appetite', 'polyuria']", fatigue  weight_loss  restlessness  lethargy  irregular_sugar_level  blurred_and_distorted_vision  obesity  increased_appetite  polyuria,37,9
Gastroenteritis, vomiting, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,"['vomiting', 'sunken_eyes', 'dehydration', 'diarrhoea']", vomiting  sunken_eyes  dehydration  diarrhoea,18,4
Gastroenteritis, sunken_eyes, dehydration, diarrhoea,,,,,,,,,,,,,,,"['sunken_eyes', 'dehydration', 'diarrhoea']", sunken_eyes  dehydration  diarrhoea,13,3
Gastroenteritis, vomiting, dehydration, diarrhoea,,,,,,,,,,,,,,,"['vomiting', 'dehydration', 'diarrhoea']", vomiting  dehydration  diarrhoea,15,3
Gastroenteritis, vomiting, sunken_eyes, diarrhoea,,,,,,,,,,,,,,,"['vomiting', 'sunken_eyes', 'diarrhoea']", vomiting  sunken_eyes  diarrhoea,14,3
Gastroenteritis, vomiting, sunken_eyes, dehydration,,,,,,,,,,,,,,,"['vomiting', 'sunken_eyes', 'dehydration']", vomiting  sunken_eyes  dehydration,12,3
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']", fatigue  cough  high_fever  breathlessness  family_history  mucoid_sputum,28,6
Bronchial Asthma, cough, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"['cough', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']", cough  high_fever  breathlessness  family_history  mucoid_sputum,24,5
Bronchial Asthma, fatigue, high_fever, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"['fatigue', 'high_fever', 'breathlessness', 'family_history', 'mucoid_sputum']", fatigue  high_fever  breathlessness  family_history  mucoid_sputum,24,5
Bronchial Asthma, fatigue, cough, breathlessness, family_history, mucoid_sputum,,,,,,,,,,,,,"['fatigue', 'cough', 'breathlessness', 'family_history', 'mucoid_sputum']", fatigue  cough  breathlessness  family_history  mucoid_sputum,21,5
Bronchial Asthma, fatigue, cough, high_fever, family_history, mucoid_sputum,,,,,,,,,,,,,"['fatigue', 'cough', 'high_fever', 'family_history', 'mucoid_sputum']", fatigue  cough  high_fever  family_history  mucoid_sputum,24,5
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, mucoid_sputum,,,,,,,,,,,,,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'mucoid_sputum']", fatigue  cough  high_fever  breathlessness  mucoid_sputum,23,5
Bronchial Asthma, fatigue, cough, high_fever, breathlessness, family_history,,,,,,,,,,,,,"['fatigue', 'cough', 'high_fever', 'breathlessness', 'family_history']", fatigue  cough  high_fever  breathlessness  family_history,24,5
Hypertension , headache, chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']", headache  chest_pain  dizziness  loss_of_balance  lack_of_concentration,21,5
Hypertension , chest_pain, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,"['chest_pain', 'dizziness', 'loss_of_balance', 'lack_of_concentration']", chest_pain  dizziness  loss_of_balance  lack_of_concentration,18,4
Hypertension , headache, dizziness, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,"['headache', 'dizziness', 'loss_of_balance', 'lack_of_concentration']", headache  dizziness  loss_of_balance  lack_of_concentration,14,4
Hypertension , headache, chest_pain, loss_of_balance, lack_of_concentration,,,,,,,,,,,,,,"['headache', 'chest_pain', 'loss_of_balance', 'lack_of_concentration']", headache  chest_pain  loss_of_balance  lack_of_concentration,17,4
Hypertension , headache, chest_pain, dizziness, lack_of_concentration,,,,,,,,,,,,,,"['headache', 'chest_pain', 'dizziness', 'lack_of_concentration']", headache  chest_pain  dizziness  lack_of_concentration,17,4
Hypertension , headache, chest_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,"['headache', 'chest_pain', 'dizziness', 'loss_of_balance']", headache  chest_pain  dizziness  loss_of_balance,18,4
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,32,9
Migraine, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"['indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,29,8
Migraine, acidity, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", acidity  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,27,8
Migraine, acidity, indigestion, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", acidity  indigestion  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,29,8
Migraine, acidity, indigestion, headache, excessive_hunger, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", acidity  indigestion  headache  excessive_hunger  stiff_neck  depression  irritability  visual_disturbances,27,8
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, stiff_neck, depression, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'stiff_neck', 'depression', 'irritability', 'visual_disturbances']", acidity  indigestion  headache  blurred_and_distorted_vision  stiff_neck  depression  irritability  visual_disturbances,28,8
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, depression, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'depression', 'irritability', 'visual_disturbances']", acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  depression  irritability  visual_disturbances,28,8
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, irritability, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'irritability', 'visual_disturbances']", acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  irritability  visual_disturbances,29,8
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, visual_disturbances,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'visual_disturbances']", acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  visual_disturbances,30,8
Migraine, acidity, indigestion, headache, blurred_and_distorted_vision, excessive_hunger, stiff_neck, depression, irritability,,,,,,,,,,"['acidity', 'indigestion', 'headache', 'blurred_and_distorted_vision', 'excessive_hunger', 'stiff_neck', 'depression', 'irritability']", acidity  indigestion  headache  blurred_and_distorted_vision  excessive_hunger  stiff_neck  depression  irritability,29,8
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance']", back_pain  weakness_in_limbs  neck_pain  dizziness  loss_of_balance,23,5
Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,"['weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance']", weakness_in_limbs  neck_pain  dizziness  loss_of_balance,20,4
Cervical spondylosis, back_pain, neck_pain, dizziness, loss_of_balance,,,,,,,,,,,,,,"['back_pain', 'neck_pain', 'dizziness', 'loss_of_balance']", back_pain  neck_pain  dizziness  loss_of_balance,16,4
Cervical spondylosis, back_pain, weakness_in_limbs, dizziness, loss_of_balance,,,,,,,,,,,,,,"['back_pain', 'weakness_in_limbs', 'dizziness', 'loss_of_balance']", back_pain  weakness_in_limbs  dizziness  loss_of_balance,18,4
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, loss_of_balance,,,,,,,,,,,,,,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'loss_of_balance']", back_pain  weakness_in_limbs  neck_pain  loss_of_balance,19,4
Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain, dizziness,,,,,,,,,,,,,,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness']", back_pain  weakness_in_limbs  neck_pain  dizziness,19,4
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,"['vomiting', 'headache', 'weakness_of_one_body_side', 'altered_sensorium']", vomiting  headache  weakness_of_one_body_side  altered_sensorium,14,4
Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,"['headache', 'weakness_of_one_body_side', 'altered_sensorium']", headache  weakness_of_one_body_side  altered_sensorium,9,3
Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium,,,,,,,,,,,,,,,"['vomiting', 'weakness_of_one_body_side', 'altered_sensorium']", vomiting  weakness_of_one_body_side  altered_sensorium,11,3
Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium,,,,,,,,,,,,,,,"['vomiting', 'headache', 'altered_sensorium']", vomiting  headache  altered_sensorium,10,3
Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side,,,,,,,,,,,,,,,"['vomiting', 'headache', 'weakness_of_one_body_side']", vomiting  headache  weakness_of_one_body_side,12,3
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']",itching  vomiting  fatigue  weight_loss  high_fever  yellowish_skin  dark_urine  abdominal_pain,31,8
Jaundice, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,"['vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']", vomiting  fatigue  weight_loss  high_fever  yellowish_skin  dark_urine  abdominal_pain,30,7
Jaundice,itching, fatigue, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,"['itching', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']",itching  fatigue  weight_loss  high_fever  yellowish_skin  dark_urine  abdominal_pain,26,7
Jaundice,itching, vomiting, weight_loss, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,"['itching', 'vomiting', 'weight_loss', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']",itching  vomiting  weight_loss  high_fever  yellowish_skin  dark_urine  abdominal_pain,27,7
Jaundice,itching, vomiting, fatigue, high_fever, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,"['itching', 'vomiting', 'fatigue', 'high_fever', 'yellowish_skin', 'dark_urine', 'abdominal_pain']",itching  vomiting  fatigue  high_fever  yellowish_skin  dark_urine  abdominal_pain,28,7
Jaundice,itching, vomiting, fatigue, weight_loss, yellowish_skin, dark_urine, abdominal_pain,,,,,,,,,,,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'yellowish_skin', 'dark_urine', 'abdominal_pain']",itching  vomiting  fatigue  weight_loss  yellowish_skin  dark_urine  abdominal_pain,24,7
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, dark_urine, abdominal_pain,,,,,,,,,,,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'dark_urine', 'abdominal_pain']",itching  vomiting  fatigue  weight_loss  high_fever  dark_urine  abdominal_pain,28,7
Jaundice,itching, vomiting, fatigue, weight_loss, high_fever, yellowish_skin, abdominal_pain,,,,,,,,,,,"['itching', 'vomiting', 'fatigue', 'weight_loss', 'high_fever', 'yellowish_skin', 'abdominal_pain']",itching  vomiting  fatigue  weight_loss  high_fever  yellowish_skin  abdominal_pain,27,7
